longitude,latitude,name
-110.66800, 33.19800, "null                                  99"
-122.44400, 39.02200, "ABBOTT MINE                           86"
-122.48400, 38.65400, "AETNA SPRINGS                         91"
-119.56000, 34.53800, "AGUA CALIENTE SPRING                 133"
-116.30500, 32.94700, "AGUA CALIENTE SPRINGS                101"
-117.01700, 33.36300, "AGUA TIBIA SPRING                     92"
-121.90400, 37.50300, "ALAMEDA WARM SPRINGS                  80"
-120.19500, 40.30200, "AMEDEE HOT SPRINGS                   203"
-122.70500, 38.77300, "ANDERSON SPRINGS                     108"
-117.26200, 34.18500, "ARROWHEAD SPRINGS WATERMAN HOT SPR  194"
-122.66700, 38.85000, "BAD CREEK SPRING                      81"
-117.38000, 35.84200, "BAINTER SPRING                        92"
-122.53300, 38.89200, "BAKER SODA SPRING                     76"
-120.03200, 41.16700, "BARE RANCH SPRING                     90"
-122.70000, 39.18300, "BARTLETT SPRINGS                     144"
-121.11000, 41.14300, "BASSETT HOT SPRINGS                  174"
-118.53200, 37.80200, "BENTON HOT SPRINGS                   134"
-118.48700, 37.88800, "BERTRAND RANCH SPRINGS                70"
-121.92400, 41.02500, "BIG BEND HOT SPRINGS                 180"
-122.78700, 39.00600, "BIG SODA SPRING                       90"
-118.88100, 37.23400, "BLANEY MEADOWS HOT SPRINGS           109"
-122.43200, 39.03200, "BLANK SPRING MANZANITA MINE SPRS    112"
-122.36900, 41.91900, "BOGUS SODA SPRINGS                    76"
-121.39900, 40.43400, "BOILING SPRINGS LAKE                 190"
-119.53800, 34.42300, "BORON SPRING                          72"
-120.01000, 39.22600, "BROCKWAY HOT SPRINGS                 131"
-119.32600, 38.23700, "BUCKEYE HOT SPRING                   140"
-121.50100, 40.45500, "BUMPASS HELL                         199"
-121.63500, 37.84700, "BYRON HOT SPRINGS                     96"
-118.67000, 35.88100, "CALIFORNIA HOT SPRINGS               122"
-122.57500, 38.58000, "CALISTOGA HOT SPRINGS                172"
-120.25000, 35.40000, "CAMETA WARM SPRING                    73"
-120.34800, 39.57300, "CAMPBELL HOT SPRINGS                 111"
-115.65400, 33.54500, "CANYON SPRING                         97"
-122.79900, 38.91600, "CARLSBAD SPRING                       76"
-119.84600, 35.43900, "CARNEROS SPRING                       90"
-118.85900, 37.64700, "CASA DIABLO HOT POOL                 165"
-118.91400, 37.64800, "CASA DIABLO HOT SPRINGS AND GEYSER   199"
-122.71700, 38.76800, "CASTLE ROCK SPRINGS                  163"
-118.88700, 37.63800, "CHANCE SPRING                         73"
-116.18900, 35.94600, "CHAPPO SPRING                         80"
-120.55500, 36.14400, "COALINGA MINERAL SPRINGS             112"
-115.32500, 33.62500, "CORN SPRING                           72"
-117.76900, 36.04500, "COSO HOT SPRINGS                     207"
-122.82100, 39.29200, "CRABTREE HOT SPRINGS                 106"
-121.76200, 37.63200, "CROHARE SPRING                        70"
-122.64200, 38.99500, "DAVIS SODA SPRING                     73"
-117.32400, 33.43600, "DE LUZ WARM SPRINGS                   85"
-118.79000, 37.67700, "DEHY HOT SPRING                      134"
-118.61200, 35.55800, "DELONEGHA HOT SPRINGS                112"
-118.66500, 35.52800, "DEMOCRAT HOT SPRINGS                 115"
-117.80200, 36.03600, "DEVILS KITCHEN                       207"
-121.43400, 40.44000, "DEVILS KITCHEN                       203"
-117.94800, 36.33000, "DIRTY SOCKS HOT SPRING                93"
-121.58400, 36.08400, "DOLANS HOT SPRING                     98"
-115.82700, 33.51200, "DOS PALMAS SPRING                     84"
-121.40900, 40.44400, "DRAKESBAD                            151"
-117.05700, 33.89600, "EDEN HOT SPRINGS                     109"
-118.49900, 34.15900, "EL ENCINO SPRINGS                     79"
-122.47500, 39.05700, "ELGIN MINE                           156"
-122.88200, 38.89700, "ENGLAND SPRINGS                       76"
-120.70000, 41.49200, "ESSEX SPRINGS                         91"
-117.91300, 33.66400, "FAIRVIEW HOT SPRING                   96"
-119.40000, 38.34800, "FALES HOT SPRINGS                    180"
-119.02500, 37.53200, "FISH CREEK HOT SPRINGS               110"
-116.03500, 33.40700, "FISH SPRINGS                          90"
-120.15800, 41.86000, "FORT BIDWELL HOT SPRING              113"
-122.66800, 39.34800, "FOUTS SPRINGS                         79"
-117.83300, 36.03100, "FUMAROLE                             203"
-122.65900, 38.97900, "FUMAROLE                               H"
-119.02800, 37.62200, "FUMAROLES                              H"
-116.98800, 33.83500, "GILMAN HOT SPRINGS                   117"
-121.47800, 37.10800, "GILROY HOT SPRINGS                   106"
-117.49500, 33.75300, "GLEN IVY HOT SPRINGS                 131"
-122.73100, 38.83500, "GORDON WARM SPRINGS                   97"
-117.38300, 37.02900, "GRAPEVINE SPRINGS                    100"
-122.49800, 39.00200, "GRIZZLY SPRING                        68"
-119.84600, 38.69900, "GROVERS HOT SPRINGS                  147"
-121.50700, 40.39300, "GROWLER HOT SPRING                   203"
-122.65500, 38.78500, "HARBIN SPRINGS                       120"
-120.00700, 40.24500, "HIGH ROCK SPRING                      86"
-116.94200, 33.96900, "HIGHLAND SPRINGS                     112"
-122.90700, 38.93600, "HIGHLAND SPRINGS                      84"
-122.77000, 38.92500, "HILDEBRANDE SPRING                    77"
-123.17000, 38.80000, "HOODS HOT SPRINGS                    100"
-122.74200, 38.99400, "HORSESHOE SPRING                     108"
-118.82800, 37.66500, "HOT CREEK GORGE SPRINGS              199"
-118.83400, 37.65600, "HOT CREEK SPRINGS                    171"
-121.52300, 41.60700, "HOT SPOT                             191"
-118.40800, 35.72700, "HOT SPRING                           113"
-119.08100, 38.04800, "HOT SPRING                           151"
-120.24300, 40.36400, "HOT SPRING                           204"
-118.81300, 37.70800, "HOT SPRING                            68"
-122.19700, 41.40700, "HOT SPRING  FUMAROLES                183"
-118.80600, 37.64800, "HOT SPRINGS                          129"
-121.27400, 41.01200, "HOT SPRINGS                            H"
-120.08000, 41.26600, "HOT SPRINGS (MENLO BATHS)            135"
-120.07800, 41.53400, "HOT SPRINGS (SURPRISE VALLEY)        208"
-121.42000, 40.44000, "HOT SPRINGS VALLEY                    83"
-122.67100, 38.85800, "HOWARD SPRINGS                       113"
-121.92600, 41.03600, "HUNT HOT SPRING                      136"
-120.93500, 40.14200, "INDIAN VALLEY HOT SPRINGS            106"
-120.89800, 36.77300, "IRIDAT SPRING                         73"
